,det,x,noun,adj,verb,adp,.,adv,pron,prt,conj,num
the,0.5246070916027863,0.0024958402662229617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fulton,0.0,0.0,7.179387556009781e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
county,0.0,0.0,0.0006165826959867223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand,0.0,0.0024958402662229617,0.0,0.0005637598657976515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jury,0.0,0.0,0.00024916697988504533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
said,0.0,0.0,0.0,0.0,0.0076377112849406485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
friday,0.0,0.0,0.00023649747243326336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
an,0.02826490251671392,0.0016638935108153079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
investigation,0.0,0.0,0.0001858194426261355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.0,0.0016638935108153079,0.0,0.0,0.0,0.26276806893546983,0.0,0.0,0.0,0.0,0.0,0.0
atlanta's,0.0,0.0,1.6892676602375954e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recent,0.0,0.0,0.0,0.0023375409069658717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary,0.0,0.0,6.334753725890983e-05,0.00108626900970767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
election,0.0,0.0,0.00032518402459573713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
produced,0.0,0.0,0.0,0.0,0.0006017176303265686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
``,0.0,0.0,0.0,0.0,0.0,0.0,0.0508872537467159,0.0,0.0,0.0,0.0,0.0
no,0.012102278693688963,0.0,0.0,0.0,0.0,0.0,0.0,0.004931629679444071,0.0,0.0,0.0,0.0
evidence,0.0,0.0,0.0008235179843658278,0.0,6.837700344620098e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'',0.0,0.0,0.0,0.0,0.0,0.0,0.050529384552270726,0.0,0.0,0.0,0.0,0.0
